Artist,Title,duration,length_song,numberone,entered,exited,censored,year,bpm,failure
Destiny's Child,Independent Women Part I,14,3.633333333,1,9/25/00,4/9/01,1,2000,85,0
Santana,"Maria, Maria",26,4.3,1,2/14/00,8/14/00,0,2000,110,1
Savage Garden,I Knew I Loved You,33,4.116666667,1,10/25/99,6/12/00,0,2000,85,1
Madonna,Music,20,3.75,1,8/14/00,1/29/01,1,2000,119,0
Christina Aguilera,Come On Over Baby (All I Want Is You),21,3.633333333,1,8/7/00,1/1/01,1,2000,118,0
Janet,Doesn't Really Matter,24,4.283333333,1,6/19/00,12/4/00,0,2000,99,1
Destiny's Child,Say My Name,32,4.516666667,1,12/27/99,8/7/00,0,2000,138,1
Enrique Iglesias,Be With You,20,3.6,1,4/3/00,8/21/00,0,2000,121,1
Sisqo,Incomplete,26,3.866666667,1,6/26/00,12/25/00,0,2000,120,1
Lonestar,Amazed,55,4.416666667,1,6/7/99,6/26/00,0,2000,139,1
N'Sync,It's Gonna Be Me,25,3.166666667,1,5/8/00,10/30/00,0,2000,82,1
Christina Aguilera,What A Girl Wants,24,3.3,1,11/29/99,5/15/00,0,2000,71,1
Vertical Horizon,Everything You Want,41,4.016666667,1,1/24/00,11/6/00,0,2000,93,1
Creed,With Arms Wide Open,33,3.866666667,1,5/15/00,4/9/01,1,2000,70,0
Aaliyah,Try Again,32,4.05,1,3/20/00,10/30/00,0,2000,116,1
matchbox twenty,Bent,35,4.2,1,5/1/00,1/29/01,1,2000,95,0
Mariah Carey,Thank God I Found You,20,4.233333333,1,12/13/99,5/1/00,0,2000,129,1
Faith Hill,Breathe,53,4.066666667,0,11/8/99,11/13/00,0,2000,136,1
Mya,Case Of The Ex (Whatcha Gonna Do),19,3.833333333,0,8/21/00,3/19/01,1,2000,98,0
Dream,He Loves U Not,13,3.716666667,0,10/2/00,4/16/01,1,2000,77,0
Toni Braxton,He Wasn't Man Enough,37,4.35,0,3/20/00,12/4/00,0,2000,88,1
Marc Anthony,You Sang To Me,32,3.833333333,0,2/28/00,10/9/00,0,2000,83,1
98Á,Give Me Just One Night (Una Noche),19,3.4,0,8/21/00,1/8/01,1,2000,123,0
Destiny's Child,Jumpin' Jumpin',32,3.8,0,5/15/00,12/25/00,0,2000,88,1
3 Doors Down,Kryptonite,38,3.883333333,0,4/10/00,4/16/01,1,2000,98,0
Sisqo,Thong Song,28,4.083333333,0,1/31/00,8/14/00,0,2000,121,1
Christina Aguilera,I Turn To You,22,4,0,4/17/00,9/18/00,0,2000,129,1
Whitney Houston,My Love Is Your Love,28,4.266666667,0,9/6/99,3/20/00,0,2000,82,1
Joe,I Wanna Know,44,4.95,0,1/3/00,11/6/00,0,2000,136,1
Montell Jordan,Get It On.. Tonite,32,4.566666667,0,10/25/99,6/5/00,0,2000,99,1
N'Sync,Bye Bye Bye,23,3.25,0,1/31/00,7/10/00,0,2000,86,1
Eminem,The Real Slim Shady,19,4.7,0,5/8/00,9/18/00,0,2000,104,1
Pink,Most Girls,20,4.1,0,8/14/00,2/19/01,1,2000,97,0
Samantha Mumba,Gotta Tell You,16,3.316666667,0,9/11/00,2/12/01,1,2000,110,0
Blaque,Bring It All To Me,29,3.766666667,0,10/25/99,5/15/00,0,2000,88,1
"Missy ""Misdemeanor"" Elliott",Hot Boyz,21,3.85,0,11/29/99,4/24/00,0,2000,82,1
Macy Gray,I Try,27,3.866666667,0,2/21/00,8/28/00,0,2000,76,1
N'Sync,This I Promise You,13,4.383333333,0,10/2/00,4/2/01,1,2000,83,0
Ruff Endz,No More,26,3.933333333,0,7/3/00,1/1/01,1,2000,84,0
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,24,3.9,0,1/3/00,6/19/00,0,2000,84,1
Nine Days,Absolutely (Story Of A Girl),27,3.15,0,5/8/00,11/13/00,0,2000,96,1
Celine Dion,That's The Way It Is,28,4.05,0,11/15/99,5/29/00,0,2000,93,1
Blink-182,All The Small Things,23,2.866666667,0,12/6/99,5/15/00,0,2000,148,1
Eiffel 65,Blue (Da Ba Dee),20,3.483333333,0,12/13/99,5/1/00,0,2000,135,1
Erykah Badu,Bag Lady,19,5.05,0,8/21/00,1/8/01,1,2000,84,0
Pink,There U Go,32,3.383333333,0,3/6/00,10/16/00,0,2000,107,1
Creed,Higher,56,5.266666667,0,9/13/99,10/9/00,0,2000,77,1
